CVE_MUN,Municipios,,Suma de Total,,,,,,,,
104,"Nopalucan, Puebla",Nopalucan,7,48,"Chiautzingo, Puebla",Chiautzingo,7,0048,,,
199,"Xiutetelco, Puebla",Xiutetelco,7,49,"Chiconcuautla, Puebla",Chiconcuautla,8,0049,,,
3,"Acatlán, Puebla",Acatlán,6,50,"Chichiquila, Puebla",Chichiquila,1,0050,,,
35,"Coxcatlán, Puebla",Coxcatlán,6,51,"Chietla, Puebla",Chietla,15,0051,,,
83,"Ixtacamaxtitlán, Puebla",Ixtacamaxtitlán,6,52,"Chigmecatitlán, Puebla",Chigmecatitlán,0,0052,,,
116,"Quimixtlán, Puebla",Quimixtlán,6,53,"Chignahuapan, Puebla",Chignahuapan,19,0053,,,
179,"Tlachichuca, Puebla",Tlachichuca,6,54,"Chignautla, Puebla",Chignautla,9,0054,,,
195,"Vicente Guerrero, Puebla",Vicente Guerrero,6,55,"Chila, Puebla",Chila,0,0055,,,
2,"Acateno, Puebla",Acateno,5,56,"Chila de la Sal, Puebla",Chila de la Sal,1,0056,,,
69,"Huaquechula, Puebla",Huaquechula,5,57,"Honey, Puebla",Honey,1,0057,,,
108,"Oriental, Puebla",Oriental,5,58,"Chilchotla, Puebla",Chilchotla,3,0058,,,
143,"San Salvador el Verde, Puebla",San Salvador el Verde,5,59,"Chinantla, Puebla",Chinantla,0,0059,,,
157,"Tehuitzingo, Puebla",Tehuitzingo,5,60,"Domingo Arenas, Puebla",Domingo Arenas,2,0060,,,
169,"Tepexi de Rodríguez, Puebla",Tepexi de Rodríguez,5,61,"Eloxochitlán, Puebla",Eloxochitlán,3,0061,,,
180,"Tlahuapan, Puebla",Tlahuapan,5,62,"Epatlán, Puebla",Epatlán,0,0062,,,
183,"Tlaola, Puebla",Tlaola,5,63,"Esperanza, Puebla",Esperanza,2,0063,,,
187,"Tlaxco, Puebla",Tlaxco,5,64,"Francisco Z. Mena, Puebla",Francisco Z. Mena,10,0064,,,
