Region,Municipio,NumeroRegion,Población total 2020,Población femenina 2020,Proporción de mujeres/hombres
Acatlán,Tecomatlán,1,6830,3414,0.5
Ajalpan,Nicolás Bravo,2,6644,3414,0.51
San Martín Texmelucan,Domingo Arenas,7,7982,4150,0.52
Teziutlán,Ayotoxco de Guerrero,10,8208,4240,0.52
Ajalpan,Zoquitlán,2,20335,10630,0.52
Zacatlán,Zapotitlán de Méndez,11,5675,2882,0.51
Atlixco,Tianguismanalco,3,14432,7442,0.52
Zacatlán,Tepango de Rodríguez,11,4155,2236,0.54
Atlixco,Tlapanalá,3,10344,5294,0.51
Chalchicomula de Sesma,Tepeyahualco,4,19200,9834,0.51
Chalchicomula de Sesma,Esperanza,4,14766,7675,0.52
San Martín Texmelucan,San Matías Tlalancaleca,7,20974,10756,0.51
Tepeaca,Acatzingo,9,63743,32820,0.51
Atlixco,Atzala,3,1512,783,0.52
Acatlán,Huehuetlán el Grande,1,6105,3159,0.52
Chalchicomula de Sesma,Cuyoaco,4,17139,8913,0.52
Acatlán,Zacapala,1,4647,2442,0.53
Acatlán,Huatlatlauca,1,6111,3327,0.54
Zacatlán,Zautla,11,20717,10889,0.53
Acatlán,Xayacatlán de Bravo,1,1570,844,0.54
Atlixco,Atzitzihuacán,3,12857,6832,0.53
Tehuacán,Yehualtepec,8,26392,13683,0.52
Acatlán,Tulcingo,1,9871,5230,0.53
Acatlán,Molcaxac,1,6668,3495,0.52
Zacatlán,Nauzontla,11,3317,1774,0.53
Acatlán,Chila,1,5082,2664,0.52
Chalchicomula de Sesma,Xiutetelco,4,42943,22264,0.52
Huauchinango,Tlacuilotepec,5,15977,8101,0.51
Zacatlán,Aquixtla,11,9021,4513,0.5
Atlixco,Xochiltepec,3,3375,1807,0.54
Atlixco,Huaquechula,3,29233,15433,0.53
Zacatlán,Ixtacamaxtitlán,11,25319,12831,0.51
Atlixco,Tochimilco,3,19315,10119,0.52
Tepeaca,Soltepec,9,12631,6528,0.52
Huauchinango,Venustiano Carranza,5,28395,14982,0.53
Tehuacán,Xochitlán Todos Santos,8,7178,3771,0.53
San Martín Texmelucan,San Felipe Teotlalcingo,7,11063,5714,0.52
Atlixco,Tepexco,3,7523,3819,0.51
Chalchicomula de Sesma,Lafragua,4,7650,3941,0.52
Atlixco,Tilapa,3,9664,5029,0.52
Ajalpan,San Antonio Cañada,2,5938,3147,0.53
Huauchinango,Jopala,5,12131,6314,0.52
Ajalpan,General Felipe Ángeles,2,22694,11712,0.52
Huauchinango,Tlapacoya,5,6422,3347,0.52
Huauchinango,Honey,5,6687,3482,0.52
Tepeaca,Santo Tomás Hueyotlipan,9,9315,4791,0.51
Huauchinango,Pantepec,5,18528,9624,0.52
Huauchinango,Amixtlán,5,4812,2542,0.53
Ajalpan,Vicente Guerrero,2,26559,14125,0.53
Zacatlán,Zoquiapan,11,2452,1314,0.54
Chalchicomula de Sesma,Chilchotla,4,21002,10595,0.5
Ajalpan,San Sebastián Tlacotepec,2,13189,6703,0.51
Tehuacán,Juan N. Méndez,8,5293,2738,0.52
Tepeaca,Mixtla,9,2668,1398,0.52
Ajalpan,Eloxochitlán,2,14461,7391,0.51
Zacatlán,Tuzamapan de Galeana,11,5924,3015,0.51
Ajalpan,Zapotitlán,2,8595,4610,0.54
Chalchicomula de Sesma,Atzitzintla,4,9051,4630,0.51
Acatlán,Piaxtla,1,9350,4861,0.52
Ajalpan,Quecholac,2,57992,29625,0.51
Huauchinango,Naupan,5,9310,4990,0.54
Chalchicomula de Sesma,Quimixtlán,4,22855,11753,0.51
Acatlán,Cuayuca de Andrade,1,3315,1686,0.51
San Martín Texmelucan,San Jerónimo Tecuanipan,7,6597,3479,0.53
Chalchicomula de Sesma,Tlachichuca,4,31639,16141,0.51
Huauchinango,Hermenegildo Galeana,5,7011,3633,0.52
Zacatlán,Xochiapulco,11,3443,1818,0.53
Ajalpan,Coyomeapan,2,14806,7863,0.53
Zacatlán,Olintla,11,11993,6158,0.51
Tepeaca,Nopalucan,9,32772,16881,0.52
Acatlán,Teopantlán,1,3836,2124,0.55
Ajalpan,Caltepec,2,4128,2205,0.53
Zacatlán,Zongozotla,11,4539,2322,0.51
Ajalpan,San José Miahuatlán,2,14018,7298,0.52
Chalchicomula de Sesma,San Nicolás Buenos Aires,4,10464,5344,0.51
Atlixco,Cohuecan,3,5403,2854,0.53
Huauchinango,Jalpan,5,12050,6333,0.53
Acatlán,Santa Inés Ahuatempan,1,6341,3303,0.52
Chalchicomula de Sesma,Chichiquila,4,26928,13625,0.51
Atlixco,Jolalpan,3,13308,6890,0.52
Zacatlán,Ixtepec,11,6950,3580,0.52
Zacatlán,Cuautempan,11,9837,5178,0.53
Ajalpan,Cañada Morelos,2,20659,10748,0.52
Acatlán,Ahuatlán,1,3162,1605,0.51
Acatlán,Ahuehuetitla,1,2207,1154,0.52
Acatlán,Albino Zertuche,1,1885,999,0.53
Acatlán,Axutla,1,976,510,0.52
Acatlán,Chigmecatitlán,1,1215,679,0.56
Acatlán,Coatzingo,1,2820,1457,0.52
Acatlán,La Magdalena Tlatlauquitepec,1,650,326,0.5
Acatlán,San Juan Atzompa,1,975,467,0.48
Acatlán,San Miguel Ixitlán,1,526,272,0.52
Acatlán,Santa Catarina Tlaltempan,1,749,377,0.5
Atlixco,Acteopan,3,3070,1624,0.53
Atlixco,Cohetzala,3,1382,663,0.48
Atlixco,San Diego la Mesa Tochimiltzingo,3,1270,644,0.51
Atlixco,Teotlalco,3,3689,1849,0.5
Atlixco,Tepemaxalco,3,1216,602,0.5
Tehuacán,Coyotepec,8,2334,1235,0.53
Tehuacán,Santiago Miahuatlán,8,30309,15636,0.52
Teziutlán,Teteles de Ávila Castillo,10,6653,3766,0.57
Teziutlán,Yaonáhuac,10,7926,4243,0.54
Zacatlán,Atlequizayan,11,2633,1405,0.53
Zacatlán,Camocuautla,11,2758,1391,0.5
Zacatlán,Caxhuacan,11,3811,1995,0.52
Zacatlán,Hueytlalpan,11,5951,3027,0.51
Zacatlán,Huitzilán de Serdán,11,15928,7836,0.49
