Estado,Ciudad,Coordenadas
Puebla,San Diego la Mesa Tochimiltzingo,"18.65000,-97.76667"
Puebla,San Felipe Teotlalcingo,"19.23664,-98.50142"
Puebla,San Felipe Tepatlán,"20.08783,-97.80153"
Puebla,San Gabriel Chilac,"18.32590,-97.34718"
Puebla,San Gregorio Atzompa,"19.00347,-98.33803"
Puebla,San Jerónimo Tecuanipan,"19.06173,-98.38636"
Puebla,San Jerónimo Xayacatlán,"18.16891,-97.95501"
Puebla,San José Chiapa,"19.26667,-97.70000"
Puebla,San José Miahuatlán,"18.29021,-97.28939"
Puebla,San Juan Atenco,"19.05640,-97.56135"
Puebla,San Juan Atzompa,"18.74694,-98.02333"
Puebla,San Martín Texmelucan,"19.28222,-98.45169"
Puebla,San Martín Totoltepec,"18.66667,-98.35000"
Puebla,San Matías Tlalancaleca,"19.37021,-98.51838"
Puebla,San Miguel Ixitlán,"18.00000,-97.76667"
Puebla,San Miguel Xoxtla,"19.16934,-98.30611"
Puebla,San Nicolás Buenos Aires,"19.30839,-97.50901"
Puebla,San Nicolás de los Ranchos,"19.07763,-98.48215"
Puebla,San Pablo Anicano,"18.130833, -98.078889"
Puebla,San Pedro Cholula,"19.09833,-98.31655"
Puebla,San Pedro Yeloixtlahuaca,"18.06526,-98.08787"
Puebla,San Salvador el Seco,"19.10604,-97.59177"
Puebla,San Salvador el Verde,"19.25000,-98.53333"
Puebla,San Salvador Huixcolotla,"18.91600,-97.77280"
Puebla,San Sebastián Tlacotepec,"18.33333,-97.25000"
Puebla,Santa Catarina Tlaltempan,"18.61581,-98.07949"
Puebla,Santa Inés Ahuatempan,"19.05000,-98.25000"
Puebla,Santa Isabel Cholula,"18.99250,-98.37788"
Puebla,Santiago Miahuatlán,"18.54728,-97.43939"
Puebla,Santo Tomás Hueyotlipan,"18.88211,-97.84708"
Puebla,Soltepec,"19.12569,-97.71406"
Puebla,Tecali de Herrera,"18.87990,-97.95747"
Puebla,Tecamachalco,"18.84435,-97.76372"
Puebla,Tecomatlán,"18.06016,-98.30406"
Puebla,Tehuacán,"19.05412,-98.22340"
Puebla,Tehuitzingo,"18.33160,-98.27415"
Puebla,Tenampulco,"20.17035,-97.40547"
Puebla,Teopantlán,"18.83966,-98.29948"
Puebla,Teotlalco,"18.46905,-98.77836"
Puebla,Tepanco de López,"18.49136,-97.46272"
Puebla,Tepango de Rodríguez,"20.00478,-97.79737"
Puebla,Tepatlaxco de Hidalgo,"19.07949,-97.97127"
Puebla,Tepeaca,"19.02610,-97.90242"
Puebla,Tepemaxalco,"18.73719,-98.62930"
Puebla,Tepeojuma,"18.71539,-98.38688"
Puebla,Tepetzintla,"19.96694,-97.84157"
Puebla,Tepexco,"18.63706,-98.63312"
Puebla,Tepexi de Rodríguez,"18.58664,-97.88992"
Puebla,Tepeyahualco,"19.39899,-97.39907"
Puebla,Tepeyahualco de Cuauhtémoc,"18.81427,-97.87773"
Puebla,Tetela de Ocampo,"19.83333,-97.75000"
Puebla,Teteles de Ávila Castillo,"18.07500,-98.67361"
Puebla,Teziutlán,"19.84188,-97.35692"
Puebla,Tianguismanalco,"19.13333,-98.46667"
Puebla,Tilapa,"18.62104,-98.51413"
Puebla,Tlachichuca,"19.12353,-97.41118"
Puebla,Tlacotepec de Benito Juárez,"18.66978,-97.67256"
Puebla,Tlacuilotepec,"20.31949,-98.03082"
Puebla,Tlahuapan,"19.22197,-98.42213"
Puebla,Tlaltenango,"19.17055,-98.34512"
Puebla,Tlanepantla,"18.86317,-97.88739"
Puebla,Tlaola,"20.14301,-97.94537"
Puebla,Tlapacoya,"20.02253,-97.91225"
Puebla,Tlapanalá,"18.71865,-98.57461"
Puebla,Tlatlauquitepec,"19.84933,-97.49597"
Puebla,Tlaxco,"20.43333,-98.05000"
Puebla,Tochimilco,"18.87542,-98.70751"
Puebla,Tochtepec,"18.83955,-97.82426"
Puebla,Totoltepec de Guerrero,"18.29309,-97.81252"
Puebla,Tulcingo,"18.04834,-98.37533"
Puebla,Tuzamapan de Galeana,"20.06458,-97.57509"
Puebla,Tzicatlacoyan,"18.84194,-98.06117"
Puebla,Venustiano Carranza,"20.506667, -97.668056"
Puebla,Vicente Guerrero,"18.5389, -97.2009"
Puebla,Xayacatlán de Bravo,"18.25000,-97.96667"
Puebla,Xicotepec,"20.38526,-97.88021"
Puebla,Xicotlán,"18.07310,-98.66931"
Puebla,Xiutetelco,"19.78189,-97.32748"
Puebla,Xochiapulco,"19.82115,-97.65898"
Puebla,Xochiltepec,"18.64994,-98.34387"
Puebla,Xochitlán de Vicente Suárez,"19.04919,-98.15646"
Puebla,Xochitlán Todos Santos,"18.72206,-97.83528"
Puebla,Yaonáhuac,"19.88047,-97.46485"
Puebla,Yehualtepec,"18.79027,-97.67185"
Puebla,Zacapala,"18.63822,-97.95565"
Puebla,Zacapoaxtla,"19.88363,-97.54381"
Puebla,Zacatlán,"20.00846,-98.11709"
Puebla,Zapotitlán,"18.33110,-97.46938"
Puebla,Zapotitlán de Méndez," 20.003056, -97.715278"
Puebla,Zaragoza,"19.772778, -97.556667"
Puebla,Zautla,"19.71519,-97.66978"
Puebla,Zihuateutla,"20.25000,-97.85833"
Puebla,Zinacatepec,"18.33367,-97.24423"
Puebla,Zongozotla,"19.97951,-97.72768"
Puebla,Zoquiapan,"20.00991,-97.59591"
Puebla,Zoquitlán,"18.37239,-97.03593"
