CVE_MUN,NOM_MUN,Homicidios_911,Secuestro_911,Violacion_911,Totales_911
"146",Santa Catarina Tlaltempan,"0","0","0","0"
"147",Santa Inés Ahuatempan,"0","0","0","0"
"148",Santa Isabel Cholula,"0","0","0","0"
"149",Santiago Miahuatlán,"0","0","0","0"
"150",Huehuetlán el Grande,"0","0","0","0"
"151",Santo Tomás Hueyotlipan,"0","0","0","0"
"152",Soltepec,"1","0","0","1"
"153",Tecali de Herrera,"1","0","0","1"
"154",Tecamachalco,"11","3","1","15"
"155",Tecomatlán,"0","0","0","0"
"156",Tehuacán,"13","4","12","29"
"157",Tehuitzingo,"0","0","0","0"
"158",Tenampulco,"1","0","0","1"
"159",Teopantlán,"0","0","0","0"
"160",Teotlalco,"0","0","0","0"
"161",Tepanco de López,"1","0","0","1"
"162",Tepango de Rodríguez,"1","0","0","1"
"163",Tepatlaxco de Hidalgo,"0","0","0","0"
"164",Tepeaca,"1","0","0","1"
"165",Tepemaxalco,"0","0","0","0"
"166",Tepeojuma,"1","0","0","1"
"167",Tepetzintla,"0","0","0","0"
"168",Tepexco,"1","0","0","1"
"169",Tepexi de Rodríguez,"0","0","1","1"
"170",Tepeyahualco,"0","0","0","0"
"171",Tepeyahualco de Cuauhtémoc,"0","0","0","0"
"172",Tetela de Ocampo,"1","0","0","1"
"173",Teteles de Ávila Castillo,"0","0","0","0"
"174",Teziutlán,"2","2","2","6"
"175",Tianguismanalco,"0","0","0","0"
"176",Tilapa,"1","0","0","1"
"177",Tlacotepec de Benito Juárez,"0","1","1","2"
"178",Tlacuilotepec,"1","0","0","1"
"179",Tlachichuca,"0","1","0","1"
"180",Tlahuapan,"0","0","1","1"
"181",Tlaltenango,"0","0","0","0"
"182",Tlanepantla,"0","0","0","0"
"183",Tlaola,"0","0","0","0"
"184",Tlapacoya,"0","0","0","0"
"185",Tlapanalá,"0","0","0","0"
"186",Tlatlauquitepec,"1","0","0","1"
"187",Tlaxco,"1","0","0","1"
"188",Tochimilco,"0","0","0","0"
"189",Tochtepec,"1","0","0","1"
"190",Totoltepec de Guerrero,"0","0","0","0"
"191",Tulcingo,"1","0","0","1"
"192",Tuzamapan de Galeana,"0","0","0","0"
"193",Tzicatlacoyan,"1","0","0","1"
"194",Venustiano Carranza,"1","1","0","2"
"195",Vicente Guerrero,"2","0","0","2"
"196",Xayacatlán de Bravo,"0","0","0","0"
"197",Xicotepec,"2","2","1","5"
"198",Xicotlán,"0","0","0","0"
"199",Xiutetelco,"0","0","0","0"
"200",Xochiapulco,"0","0","0","0"
"201",Xochiltepec,"0","0","0","0"
"202",Xochitlán de Vicente Suárez,"0","0","0","0"
"203",Xochitlán Todos Santos,"0","0","0","0"
"204",Yaonáhuac,"1","0","0","1"
"205",Yehualtepec,"4","0","0","4"
"206",Zacapala,"0","0","0","0"
"207",Zacapoaxtla,"1","0","1","2"
"208",Zacatlán,"3","5","4","12"
"209",Zapotitlán,"1","0","0","1"
"210",Zapotitlán de Méndez,"0","0","0","0"
"211",Zaragoza,"0","0","0","0"
"212",Zautla,"0","0","0","0"
"213",Zihuateutla,"2","0","0","2"
"214",Zinacatepec,"1","0","0","1"
"215",Zongozotla,"0","0","0","0"
"216",Zoquiapan,"1","0","0","1"
"217",Zoquitlán,"1","0","1","2"
